ID,Date,Category,Vendor,Amount,Type,Carbon_Score,Charity_Roundup
3,2025-04-24 19:04:08.887401,Transportation,Vendor_Transportation_5,-35.25,Expense,176.25,0.75
2,2025-04-24 23:13:08.887401,Transportation,Vendor_Transportation_3,-75.75,Expense,378.75,0.25
1,2025-04-25 03:57:08.887401,Groceries,Vendor_Groceries_2,-128.52,Expense,154.22,0.48
5,2025-04-26 21:34:08.887401,Utilities,Vendor_Utilities_4,-228.58,Expense,571.45,0.42
4,2025-04-26 22:04:08.887401,Shopping,Vendor_Shopping_4,-231.79,Expense,463.58,0.21
7,2025-04-28 02:47:08.887401,Dining,Vendor_Dining_5,-70.45,Expense,105.68,0.55
6,2025-04-28 06:03:08.887401,Groceries,Vendor_Groceries_4,-65.77,Expense,78.92,0.23
8,2025-04-28 20:20:08.887401,Dining,Vendor_Dining_5,-95.67,Expense,143.5,0.33
9,2025-04-28 20:51:08.887401,Groceries,Vendor_Groceries_3,-87.17,Expense,104.6,0.83
10,2025-04-29 22:20:08.887401,Groceries,Vendor_Groceries_1,-129.16,Expense,154.99,0.84
11,2025-05-01 09:55:08.887401,Income,Employer INC,5500.0,Income,0.0,0.0
12,2025-05-01 09:55:08.887401,Subscriptions,Netflix,-15.99,Expense,1.6,0.01
13,2025-05-01 09:55:08.887401,Subscriptions,Adobe,-54.99,Expense,5.5,0.01
14,2025-05-01 09:55:08.887401,Subscriptions,Gym,-45.0,Expense,4.5,0.0
15,2025-05-01 09:55:08.887401,Housing,Property Management,-1800.0,Expense,900.0,0.0
16,2025-05-02 23:05:08.887401,Entertainment,Vendor_Entertainment_3,-175.96,Expense,52.79,0.04
17,2025-05-03 00:49:08.887401,Dining,Vendor_Dining_4,-31.91,Expense,47.87,0.09
20,2025-05-03 19:03:08.887401,Healthcare,Vendor_Healthcare_1,-424.8,Expense,42.48,0.2
19,2025-05-04 05:41:08.887401,Dining,Vendor_Dining_4,-38.95,Expense,58.43,0.05
18,2025-05-04 06:00:08.887401,Entertainment,Vendor_Entertainment_4,-164.99,Expense,49.5,0.01
22,2025-05-05 20:18:08.887401,Utilities,Vendor_Utilities_5,-253.15,Expense,632.88,0.85
21,2025-05-06 08:09:08.887401,Groceries,Vendor_Groceries_4,-95.8,Expense,114.96,0.2
23,2025-05-06 18:51:08.887401,Shopping,Vendor_Shopping_4,-128.0,Expense,256.0,0.0
25,2025-05-07 21:12:08.887401,Groceries,Vendor_Groceries_5,-124.87,Expense,149.84,0.13
24,2025-05-08 05:01:08.887401,Healthcare,Vendor_Healthcare_1,-465.76,Expense,46.58,0.24
26,2025-05-08 19:55:08.887401,Dining,Vendor_Dining_5,-45.26,Expense,67.89,0.74
28,2025-05-09 23:46:08.887401,Groceries,Vendor_Groceries_4,-145.37,Expense,174.44,0.63
27,2025-05-10 03:56:08.887401,Groceries,Vendor_Groceries_5,-149.03,Expense,178.84,0.97
29,2025-05-11 04:16:08.887401,Groceries,Vendor_Groceries_2,-121.46,Expense,145.75,0.54
31,2025-05-13 20:25:08.887401,Entertainment,Vendor_Entertainment_1,-161.62,Expense,48.49,0.38
30,2025-05-14 06:57:08.887401,Groceries,Vendor_Groceries_3,-58.18,Expense,69.82,0.82
33,2025-05-14 19:52:08.887401,Shopping,Vendor_Shopping_1,-79.9,Expense,159.8,0.1
32,2025-05-14 23:51:08.887401,Entertainment,Vendor_Entertainment_2,-28.61,Expense,8.58,0.39
34,2025-05-15 07:51:08.887401,Entertainment,Vendor_Entertainment_1,-57.54,Expense,17.26,0.46
35,2025-05-16 22:23:08.887401,Transportation,Vendor_Transportation_4,-45.78,Expense,228.9,0.22
36,2025-05-17 20:41:08.887401,Dining,Vendor_Dining_5,-97.04,Expense,145.56,0.96
37,2025-05-18 00:12:08.887401,Utilities,Vendor_Utilities_1,-235.18,Expense,587.95,0.82
40,2025-05-19 23:22:08.887401,Transportation,Vendor_Transportation_1,-34.29,Expense,171.45,0.71
38,2025-05-20 02:34:08.887401,Shopping,Vendor_Shopping_4,-258.36,Expense,516.72,0.64
39,2025-05-20 06:52:08.887401,Groceries,Vendor_Groceries_1,-142.03,Expense,170.44,0.97
43,2025-05-21 19:02:08.887401,Dining,Vendor_Dining_1,-88.91,Expense,133.37,0.09
42,2025-05-21 22:48:08.887401,Transportation,Vendor_Transportation_5,-21.29,Expense,106.45,0.71
41,2025-05-22 05:46:08.887401,Dining,Vendor_Dining_4,-47.85,Expense,71.78,0.15
44,2025-05-23 02:12:08.887401,Groceries,Vendor_Groceries_3,-123.78,Expense,148.54,0.22
46,2025-05-23 18:39:08.887401,Groceries,Vendor_Groceries_1,-142.13,Expense,170.56,0.87
45,2025-05-24 02:35:08.887401,Groceries,Vendor_Groceries_2,-142.53,Expense,171.04,0.47
47,2025-05-26 23:07:08.887401,Shopping,Vendor_Shopping_5,-291.39,Expense,582.78,0.61
48,2025-05-27 08:12:08.887401,Entertainment,Vendor_Entertainment_1,-37.5,Expense,11.25,0.5
50,2025-05-28 21:57:08.887401,Groceries,Vendor_Groceries_1,-116.64,Expense,139.97,0.36
49,2025-05-29 07:58:08.887401,Transportation,Vendor_Transportation_5,-78.48,Expense,392.4,0.52
51,2025-05-29 08:50:08.887401,Groceries,Vendor_Groceries_2,-50.77,Expense,60.92,0.23
52,2025-05-31 01:07:08.887401,Groceries,Vendor_Groceries_2,-81.18,Expense,97.42,0.82
53,2025-06-01 05:49:08.887401,Dining,Vendor_Dining_1,-32.14,Expense,48.21,0.86
54,2025-06-01 09:55:08.887401,Income,Employer INC,5500.0,Income,0.0,0.0
55,2025-06-01 09:55:08.887401,Subscriptions,Netflix,-15.99,Expense,1.6,0.01
56,2025-06-01 09:55:08.887401,Subscriptions,Adobe,-56.99,Expense,5.7,0.01
