ID,Date,Category,Vendor,Amount,Type,Carbon_Score,Charity_Roundup
1,2025-04-24 13:36:29.318005,Healthcare,Vendor_Healthcare_4,-213.14,Expense,21.31,0.86
2,2025-04-25 08:46:29.318005,Transportation,Vendor_Transportation_4,-35.92,Expense,179.6,0.08
3,2025-04-26 08:27:29.318005,Groceries,Vendor_Groceries_2,-53.86,Expense,64.63,0.14
4,2025-04-27 13:17:29.318005,Groceries,Vendor_Groceries_2,-109.22,Expense,131.06,0.78
6,2025-04-27 17:13:29.318005,Healthcare,Vendor_Healthcare_4,-453.05,Expense,45.31,0.95
5,2025-04-27 21:48:29.318005,Transportation,Vendor_Transportation_3,-43.49,Expense,217.45,0.51
8,2025-04-28 11:56:29.318005,Healthcare,Vendor_Healthcare_5,-393.38,Expense,39.34,0.62
7,2025-04-28 12:00:29.318005,Transportation,Vendor_Transportation_3,-78.36,Expense,391.8,0.64
9,2025-04-29 12:43:29.318005,Transportation,Vendor_Transportation_1,-49.16,Expense,245.8,0.84
10,2025-04-29 19:14:29.318005,Transportation,Vendor_Transportation_5,-70.17,Expense,350.85,0.83
12,2025-04-30 16:40:29.318005,Dining,Vendor_Dining_5,-96.97,Expense,145.45,0.03
11,2025-04-30 20:02:29.318005,Shopping,Vendor_Shopping_5,-195.63,Expense,391.26,0.37
13,2025-05-01 07:37:29.318005,Utilities,Vendor_Utilities_5,-271.09,Expense,677.72,0.91
18,2025-05-01 23:07:29.318005,Housing,Property Management,-1800.0,Expense,900.0,0.0
16,2025-05-01 23:07:29.318005,Subscriptions,Adobe,-54.99,Expense,5.5,0.01
17,2025-05-01 23:07:29.318005,Subscriptions,Gym,-45.0,Expense,4.5,0.0
14,2025-05-01 23:07:29.318005,Income,Employer INC,5500.0,Income,0.0,0.0
15,2025-05-01 23:07:29.318005,Subscriptions,Netflix,-15.99,Expense,1.6,0.01
20,2025-05-05 07:12:29.318005,Entertainment,Vendor_Entertainment_3,-44.95,Expense,13.49,0.05
19,2025-05-05 19:14:29.318005,Dining,Vendor_Dining_3,-63.05,Expense,94.57,0.95
21,2025-05-06 14:57:29.318005,Entertainment,Vendor_Entertainment_3,-196.63,Expense,58.99,0.37
22,2025-05-06 15:32:29.318005,Groceries,Vendor_Groceries_2,-110.12,Expense,132.14,0.88
23,2025-05-07 07:20:29.318005,Dining,Vendor_Dining_2,-45.87,Expense,68.8,0.13
24,2025-05-08 08:03:29.318005,Transportation,Vendor_Transportation_5,-67.18,Expense,335.9,0.82
26,2025-05-10 10:36:29.318005,Groceries,Vendor_Groceries_1,-101.9,Expense,122.28,0.1
27,2025-05-10 15:41:29.318005,Healthcare,Vendor_Healthcare_1,-231.96,Expense,23.2,0.04
25,2025-05-10 19:21:29.318005,Dining,Vendor_Dining_3,-41.3,Expense,61.95,0.7
28,2025-05-11 08:21:29.318005,Transportation,Vendor_Transportation_1,-43.48,Expense,217.4,0.52
29,2025-05-11 11:50:29.318005,Transportation,Vendor_Transportation_1,-70.84,Expense,354.2,0.16
30,2025-05-11 19:05:29.318005,Entertainment,Vendor_Entertainment_2,-187.49,Expense,56.25,0.51
31,2025-05-12 10:35:29.318005,Groceries,Vendor_Groceries_1,-54.64,Expense,65.57,0.36
32,2025-05-14 12:41:29.318005,Dining,Vendor_Dining_4,-53.33,Expense,80.0,0.67
33,2025-05-16 10:55:29.318005,Entertainment,Vendor_Entertainment_5,-117.76,Expense,35.33,0.24
34,2025-05-16 12:17:29.318005,Dining,Vendor_Dining_5,-31.37,Expense,47.05,0.63
35,2025-05-16 13:25:29.318005,Entertainment,Vendor_Entertainment_2,-39.69,Expense,11.91,0.31
36,2025-05-17 08:15:29.318005,Utilities,Vendor_Utilities_2,-243.67,Expense,609.17,0.33
37,2025-05-17 08:46:29.318005,Transportation,Vendor_Transportation_5,-76.41,Expense,382.05,0.59
39,2025-05-18 07:07:29.318005,Groceries,Vendor_Groceries_5,-135.66,Expense,162.79,0.34
38,2025-05-18 07:44:29.318005,Dining,Vendor_Dining_5,-68.49,Expense,102.73,0.51
40,2025-05-19 10:09:29.318005,Dining,Vendor_Dining_5,-30.85,Expense,46.28,0.15
41,2025-05-19 15:16:29.318005,Dining,Vendor_Dining_1,-36.3,Expense,54.45,0.7
42,2025-05-20 07:24:29.318005,Entertainment,Vendor_Entertainment_1,-47.32,Expense,14.2,0.68
44,2025-05-21 10:00:29.318005,Groceries,Vendor_Groceries_4,-149.56,Expense,179.47,0.44
43,2025-05-21 15:40:29.318005,Groceries,Vendor_Groceries_3,-146.5,Expense,175.8,0.5
